epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,4931.1,1.09639,1.29265,0.00563,0.41751,0.31953,0.28626,0.20199,1.37733,3.01747,0.01154,0.000387678,0.000387678,0.000387678
56,5024.94,0.96155,1.24021,0.00542,0.43974,0.27535,0.28263,0.20013,1.39603,2.89554,0.01168,0.000379431,0.000379431,0.000379431
57,5111.42,1.05446,1.27529,0.00577,0.42296,0.31045,0.27835,0.19391,1.43085,2.92048,0.01222,0.000371185,0.000371185,0.000371185
58,5199.82,1.09409,1.29265,0.00547,0.30875,0.27853,0.26491,0.18873,1.39546,2.99156,0.01187,0.000362938,0.000362938,0.000362938
59,5289.33,1.06179,1.32085,0.00531,0.30656,0.32783,0.26904,0.19608,1.39539,2.93859,0.01188,0.000354691,0.000354691,0.000354691
60,5374.59,1.04803,1.29668,0.00546,0.27887,0.32735,0.24746,0.18364,1.38972,2.99518,0.01191,0.000346445,0.000346445,0.000346445
61,5460.98,1.03664,1.25092,0.00527,0.28719,0.3087,0.23539,0.17152,1.4168,3.01656,0.01219,0.000338198,0.000338198,0.000338198
62,5549.61,1.01169,1.2313,0.00497,0.24607,0.28612,0.23794,0.17317,1.38348,2.96753,0.01169,0.000329951,0.000329951,0.000329951
63,5638.37,0.94789,1.1635,0.00528,0.29053,0.29433,0.26065,0.19189,1.36602,2.99184,0.01148,0.000321705,0.000321705,0.000321705
64,5721.86,1.01135,1.16175,0.00556,0.28979,0.30625,0.27819,0.20499,1.40927,2.91661,0.01201,0.000313458,0.000313458,0.000313458
